TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-09-03,2024-09-03,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,8000.00,8030.00,7908.00,7918.60,7928.10,7873.55,,7926.95,,,490,3907641.00,210,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,33.16,34.42,33.16,34.42,34.42,33.75,,34.42,,,26000,887619.00,63,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,962.75,988.00,962.75,979.85,977.45,962.75,,979.30,,,3030,2963073.00,329,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,41.31,41.74,41.26,41.43,41.43,41.64,,41.39,,,506703,21016552.00,1855,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8279.95,8350.00,8260.80,8280.25,8280.00,8287.20,,8284.80,,,1756,14563337.00,567,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,7445.05,7459.90,7208.00,7351.55,7351.55,7435.70,,7353.75,,,53892,393937242.00,7334,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,591.60,594.65,584.50,586.90,585.90,591.60,,587.65,,,43147,25436846.00,1917,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,677.05,698.10,677.00,687.60,686.50,684.80,,688.50,,,8024,5516738.00,892,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2318.95,2338.00,2285.40,2293.00,2294.65,2318.50,,2292.45,,,4260,9844785.00,547,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3289.70,3362.80,3278.15,3309.05,3309.05,3303.00,,3316.75,,,229,758692.00,77,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,6530.00,6573.30,6482.75,6504.80,6511.00,6519.15,,6512.85,,,2729,17821424.00,513,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1461.65,1476.00,1458.00,1468.50,1470.50,1460.45,,1467.90,,,20645,30334798.00,1482,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3839.55,3934.00,3833.00,3851.80,3851.80,3800.15,,3850.85,,,34970,135605423.00,4079,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,299.00,301.30,296.90,297.20,297.20,296.90,,297.15,,,1472077,439706845.00,17615,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,168.55,170.45,164.10,166.70,166.55,167.65,,166.81,,,254220,42253378.00,2863,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,23.28,23.28,22.51,22.83,22.83,22.96,,22.83,,,36311,825890.00,254,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500059,INE071A01013,BINANIIND,B,,,,,BINANI INDUSTRIES LTD.,14.60,15.00,14.31,14.89,14.89,14.60,,14.82,,,2378,35255.00,35,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,267.00,284.75,267.00,274.40,274.40,270.10,,274.20,,,31800,8820515.00,1261,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1680.85,1688.00,1663.20,1682.95,1685.00,1660.90,,1683.70,,,7981,13376789.00,1153,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,18500.00,18674.95,18010.15,18201.80,18200.00,18199.95,,18201.80,,,22,400205.00,10,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,481.00,494.00,481.00,482.10,482.00,480.50,,482.10,,,270,130765.00,22,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500074,INE110A01019,BPL,T,,,,,BPL LTD.,119.20,121.95,119.05,121.50,121.05,118.20,,120.70,,,3522,424580.00,70,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,510.00,520.70,506.95,510.45,511.10,510.05,,510.00,,,3434,1761205.00,324,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,26.47,26.74,25.54,25.60,25.60,25.98,,25.92,,,20260,528445.00,96,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,197.20,199.45,194.65,197.70,197.70,195.70,,197.77,,,147337,29093530.00,2075,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,531.00,533.90,526.00,528.25,528.25,528.85,,528.45,,,118798,62980177.00,3523,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,490.55,493.70,488.20,488.75,488.75,490.55,,488.85,,,157544,77171435.00,6087,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1642.00,1660.35,1642.00,1652.40,1652.40,1646.35,,1653.20,,,16663,27522701.00,1765,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500089,INE303A01010,DICIND,T,,,,,DIC INDIA LTD.,715.00,715.00,704.00,704.00,704.00,715.00,,704.00,,,377,265725.00,9,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4550.00,4650.30,4536.60,4641.65,4640.00,4535.00,,4640.60,,,1665,7673289.00,416,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,688.60,695.20,681.70,689.30,689.30,684.05,,689.40,,,101583,69870310.00,5117,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,635.05,648.00,635.05,638.35,638.35,636.65,,638.20,,,60377,38886434.00,3791,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,480.20,481.95,470.25,474.75,475.35,481.80,,474.75,,,12963,6158479.00,665,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,395.95,396.05,390.00,393.95,393.95,391.20,,394.10,,,19080,7500158.00,861,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,286.90,290.15,286.00,286.30,286.30,286.75,,286.35,,,208361,59895274.00,3443,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,429.35,430.55,424.70,425.60,425.60,427.80,,425.90,,,190453,81299500.00,4384,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,72.80,75.74,72.56,73.85,73.85,72.96,,73.80,,,1998352,148341093.00,9177,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500108,INE153A01019,MTNL,A,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,59.55,60.25,58.45,58.81,58.81,59.48,,58.95,,,467819,27814537.00,3598,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,204.75,205.50,202.90,203.70,203.70,203.75,,203.70,,,129936,26494829.00,3164,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,987.55,987.55,979.25,982.20,982.20,980.65,,983.40,,,9101,8951660.00,725,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,821.20,825.90,816.75,824.75,824.75,822.10,,824.80,,,293326,240849975.00,6483,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,132.85,133.55,131.25,131.80,131.80,133.15,,131.78,,,1184945,156775656.00,12918,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3586.55,3634.20,3561.00,3619.75,3617.00,3586.55,,3621.15,,,28470,102627159.00,2814,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,94.99,95.59,93.53,93.71,93.71,94.76,,93.73,,,163936,15439448.00,1559,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500117,INE500A01029,DCW,A,,,,,DCW LTD.,80.00,84.69,79.10,84.31,84.31,79.76,,84.12,,,1539036,126173034.00,3873,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500119,INE041A01016,DHAMPURSUG,B,,,,,DHAMPUR SUGAR MILLS LTD.,225.00,227.00,219.75,226.00,226.00,225.00,,225.90,,,146014,32554047.00,2678,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500120,INE591D01014,DIAMINESQ,B,,,,,DIAMINES & CHEMICALS LTD.,560.10,579.45,560.00,563.65,560.00,556.35,,562.65,,,1007,569649.00,213,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500123,INE280B01018,ELANTAS,B,,,,,ELANTAS BECK INDIA LTD.,12112.50,12112.50,11911.10,11982.95,11999.95,12112.50,,11982.95,,,297,3561000.00,101,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500124,INE089A01023,DRREDDY,A,,,,,DR.REDDYS LABORATORIES LTD.,6927.95,6927.95,6850.05,6854.45,6853.15,6870.35,,6853.85,,,3751,25809229.00,1158,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500125,INE126A01031,EIDPARRY,A,,,,,E.I.D.-PARRY (INDIA) LTD.,829.60,832.40,815.00,820.30,818.00,828.35,,820.30,,,28463,23465623.00,1142,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500126,INE199A01012,PGHL,A,,,,,PROCTER & GAMBLE HEALTH LIMITE,5251.00,5265.45,5220.00,5248.55,5243.75,5224.60,,5253.20,,,195,1023180.00,74,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500128,INE086A01029,ELECTCAST,A,,,,,ELECTROSTEEL CASTINGS LTD.,214.00,223.00,213.00,221.15,221.15,214.80,,221.02,,,157217,34446510.00,2431,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500133,INE284A01012,ESABINDIA,A,,,,,ESAB INDIA LTD.,6119.40,6163.45,6043.45,6063.35,6069.60,6119.40,,6056.00,,,327,1997863.00,179,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500135,INE255A01020,EPL,A,,,,,EPL LIMITED,249.50,256.85,248.70,250.40,250.30,247.15,,250.09,,,73331,18480644.00,1388,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500136,INE778B01029,ESTER,B,,,,,ESTER INDUSTRIES LTD.,138.60,141.20,136.60,138.25,138.75,137.80,,138.25,,,34325,4739053.00,737,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500142,INE512A01016,FGP,X,,,,,FGP LTD.,13.51,13.51,13.51,13.51,13.51,12.87,,13.51,,,17907,241923.00,55,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500143,INE160F01013,PHCAP,XT,,,,,PH CAPITAL LTD.,175.05,175.05,175.00,175.00,175.00,171.65,,175.00,,,146,25557.00,8,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500144,INE235A01022,FINCABLES,A,,,,,FINOLEX CABLES LTD.,1446.25,1468.70,1441.00,1444.00,1441.00,1449.45,,1443.45,,,4143,6006353.00,351,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500147,INE515A01019,COCKERILL,B,,,,,JOHN COCKERILL INDIA LIMITED,5126.95,5189.95,5050.00,5058.70,5063.15,5045.50,,5058.70,,,1385,7069921.00,204,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500148,INE516A01017,UFLEX,B,,,,,UFLEX LTD.,759.95,782.95,753.40,769.50,770.20,758.50,,769.70,,,12844,9836345.00,1018,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500150,INE519A01011,FOSECOIND,B,,,,,FOSECO INDIA LTD.,4937.00,4957.45,4885.10,4905.00,4912.00,4933.30,,4897.95,,,322,1579611.00,101,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500151,INE973A01010,GOLDENTOBC,Z,,,,,GOLDEN TOBACCO LTD.,41.10,42.49,41.00,41.00,41.00,41.10,,41.28,,,735,30723.00,14,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500153,INE388A01029,GANESHBE,B,,,,,GANESH BENZOPLAST LTD.,165.65,172.00,163.40,170.10,170.10,163.95,,170.45,,,45081,7595697.00,1007,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500159,INE085D01033,METROGLOBL,X,,,,,METROGLOBAL LIMITED,162.25,163.25,159.00,161.35,161.35,158.50,,161.35,,,13542,2200472.00,104,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500160,INE043A01012,GTL,B,,,,,GTL LTD.,13.98,14.40,13.76,14.09,14.09,13.80,,14.10,,,321641,4508170.00,1527,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500163,INE260B01028,GODFRYPHLP,A,,,,,GODFREY PHILLIPS INDIA LTD.,6743.60,6874.95,6525.45,6609.65,6609.65,6679.95,,6632.90,,,19725,132252219.00,3746,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500164,INE233A01035,GODREJIND,A,,,,,GODREJ INDUSTRIES LTD.,1070.35,1272.95,1058.40,1193.60,1193.60,1060.80,,1210.75,,,133557,153695021.00,7687,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500165,INE531A01024,KANSAINER,A,,,,,KANSAI NEROLAC PAINTS LTD.,298.20,300.60,297.45,298.80,298.25,297.85,,298.70,,,13130,3925417.00,600,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500166,INE300A01016,GOODRICKE,X,,,,,GOODRICKE GROUP LTD.,234.05,243.95,234.05,238.80,238.80,233.30,,238.80,,,7106,1703834.00,171,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500168,INE533A01012,GOODYEAR,B,,,,,GOODYEAR INDIA LTD.,1180.00,1189.00,1168.55,1176.15,1171.00,1182.15,,1176.15,,,11430,13435662.00,653,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500170,INE537A01013,GTNINDS,X,,,,,GTN INDUSTRIES LTD.,36.48,36.80,34.30,36.32,36.80,35.76,,36.32,,,15044,541999.00,64,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500171,INE539A01019,GHCL,A,,,,,GHCL LTD.,670.30,688.65,669.00,672.75,673.00,670.30,,672.55,,,18868,12790541.00,1307,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500173,INE538A01037,GFLLIMITED,B,,,,,GFL LIMITED,81.08,82.30,79.70,80.40,80.40,81.33,,80.35,,,2178,176726.00,104,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500174,INE540A01017,GLFL,T,,,,,GUJARAT LEASE FINANCING LTD.,8.44,8.44,8.44,8.44,8.44,8.44,,8.29,,,1030,8693.00,3,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500179,INE236A01020,HCL-INSYS,B,,,,,HCL INFOSYSTEMS LTD.,16.44,16.44,16.05,16.21,16.24,16.12,,16.18,,,73879,1194308.00,709,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500180,INE040A01034,HDFCBANK,A,,,,,HDFC BANK LTD.,1635.05,1639.95,1624.85,1637.80,1637.80,1626.15,,1637.35,,,227643,371119160.00,5482,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500182,INE158A01026,HEROMOTOCO,A,,,,,HERO MOTOCORP LTD.,5610.00,5696.95,5550.00,5647.45,5648.45,5575.70,,5646.50,,,19368,109243565.00,4530,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500183,INE548A01028,HFCL,A,,,,,HFCL LIMITED,147.00,155.00,146.75,152.65,152.65,147.65,,152.73,,,3753776,572142236.00,21251,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500184,INE019C01026,HSCL,A,,,,,Himadri Speciality Chemical Lt,522.70,533.95,522.05,530.70,528.65,521.85,,531.05,,,57966,30635788.00,1523,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500185,INE549A01026,HCC,A,,,,,HINDUSTAN CONSTRUCTION CO.LTD.,46.34,47.40,46.34,46.58,46.52,46.51,,46.58,,,1110685,51995361.00,2935,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500186,INE345A01011,HINDOILEXP,A,,,,,HINDUSTAN OIL EXPLORATION CO.L,258.85,263.00,256.70,260.25,260.25,257.55,,260.45,,,38140,9908110.00,737,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500187,INE415A01038,AGI,A,,,,,AGI GREENPAC LIMITED,910.45,936.60,910.45,915.85,918.35,916.10,,916.55,,,12342,11409586.00,929,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500188,INE267A01025,HINDZINC,A,,,,,HINDUSTAN ZINC LTD.,494.00,496.95,490.55,492.35,492.35,493.65,,492.55,,,71073,35047220.00,2443,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500189,INE353A01023,NDLVENTURE,B,,,,,NDL Ventures Limited,99.15,106.35,99.15,105.70,105.65,105.10,,105.39,,,2575,270130.00,134,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500191,INE262A01018,HMT,Z,,,,,HMT LTD.,86.00,86.00,82.00,84.30,84.00,84.31,,83.82,,,6026,501852.00,64,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500192,INE962B01011,PRAGBOS,X,,,,,PRAG BOSIMI SYNTHETICS LTD.,3.32,3.32,3.00,3.18,3.18,3.12,,3.18,,,34008,104070.00,68,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500193,INE102A01024,HLVLTD,B,,,,,HLV LIMITED,20.60,21.35,20.60,21.19,21.20,20.56,,21.19,,,201791,4253528.00,1347,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500199,INE204A01010,IGPL,B,,,,,I G PETROCHEMICALS LTD.,686.10,686.10,660.00,661.40,661.00,657.05,,661.40,,,1537,1020457.00,157,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500201,INE560A01015,INDIAGLYCO,B,,,,,INDIA GLYCOLS LTD.,1338.15,1375.35,1325.00,1353.10,1350.30,1345.60,,1353.90,,,10916,14752603.00,1018,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500202,INE333C01013,INDLEASE,X,,,,,INDIA LEASE DEVELOPMENT LTD.,14.60,14.60,14.60,14.60,14.60,13.28,,14.60,,,35305,515453.00,38,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500206,INE680B01019,MARGOFIN,XT,,,,,MARGO FINANCE LIMITED,60.35,60.35,55.50,55.65,59.00,57.52,,55.65,,,2714,154217.00,27,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500207,INE156A01020,INDORAMA,B,,,,,INDO RAMA SYNTHETICS (INDIA) L,49.44,50.30,48.20,50.07,50.30,48.47,,50.06,,,150272,7485204.00,1486,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500209,INE009A01021,INFY,A,,,,,INFOSYS LTD.,1964.90,1965.00,1936.00,1940.20,1940.20,1964.10,,1941.25,,,103637,202452668.00,4867,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500210,INE177A01018,INGERRAND,A,,,,,INGERSOLL-RAND (INDIA) LTD.,4225.40,4384.30,4225.40,4268.90,4273.10,4279.40,,4269.45,,,2563,11074673.00,448,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500213,INE262B01016,ITHL,X,,,,,INTERNATIONAL TRAVEL HOUSE LTD,620.05,635.00,620.05,631.05,625.40,626.45,,631.05,,,2026,1273435.00,86,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500214,INE570A01022,IONEXCHANG,A,,,,,ION EXCHANGE (INDIA) LTD.,656.65,666.95,650.00,652.30,652.30,661.45,,651.95,,,10574,6960178.00,714,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500215,INE209A01019,ATFL,B,,,,,AGRO TECH FOODS LTD.,839.90,844.00,834.85,837.95,841.35,837.95,,837.30,,,481,403987.00,65,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500219,INE175A01038,JISLJALEQS,A,,,,,JAIN IRRIGATION SYSTEMS LTD.,69.00,72.50,69.00,70.39,70.39,69.39,,70.50,,,262295,18589290.00,1610,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500220,INE711C01028,JASCH,X,,,,,JASCH INDUSTRIES LTD.,177.60,181.05,176.00,178.15,178.15,177.60,,178.15,,,6467,1159973.00,79,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500227,INE197D01010,JINDALPOLY,B,,,,,JINDAL POLY FILMS LTD.,795.00,795.95,785.55,790.75,793.35,792.55,,790.65,,,8185,6471050.00,669,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500228,INE019A01038,JSWSTEEL,A,,,,,JSW STEEL LTD.,941.95,941.95,929.80,931.00,931.00,940.15,,930.95,,,13510,12617001.00,1279,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500231,INE864B01027,UMANGDAIRY,T,,,,,UMANG DAIRIES LTD.,109.00,109.00,104.00,105.55,107.50,107.35,,106.16,,,2195,232520.00,35,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500233,INE217B01036,KAJARIACER,A,,,,,KAJARIA CERAMICS LTD.,1335.00,1391.00,1335.00,1385.65,1382.60,1358.10,,1386.20,,,5273,7275836.00,687,F1,1,,,,,
2024-09-03,2024-09-03,CM,BSE,STK,500234,INE437B01014,KAKATCEM,B,,,,,KAKATIYA CEMENT SUGAR & INDUST,224.10,226.70,224.10,226.60,226.70,225.10,,224.31,,,130,29185.00,18,F1,1,,,,,
